style,role,occasion,description
casual,"a small-framed, delicate woman",a wedding,"The delicate woman in the photo is wearing a light blue, collared shirt with a pair of black dress pants. The
shirt is tucked in, revealing a bit of her waist. The pants are slightly tapered, giving her a slim
silhouette. She accessorizes with a pair of black heels and a matching black handbag. Her hair is styled in
loose waves, framing her face. The overall look is chic and feminine, perfect for a wedding."
casual,"a short, curvy man with a muscular build",a birthday party,"The fashion-conscious man in the photo is wearing a casual outfit that is perfect for a birthday celebration.
The man is wearing a white t-shirt, a pair of dark-wash jeans, and a pair of black sneakers. The t-shirt is
tucked in, revealing a bit of the man's muscular build. The jeans are slightly loose, giving the outfit a
relaxed and comfortable vibe. The sneakers are classic black, with a modern twist, featuring a white sole. The
man is accessorized with a black leather watch and a silver necklace. The outfit is completed with a black
leather jacket, adding a layer of sophistication to the casual look."
bohemian,"a small-framed, delicate woman",a winter vacation,"The delicate, petite woman can pull off a bohemian look with ease. Start with a comfortable, oversized sweater
in a neutral color, paired with a pair of high-waisted, wide-leg trousers. A scarf or shawl can add an extra
layer of warmth and style. For footwear, go with a pair of ankle boots or loafers. Don't forget to accessorize
with a few delicate jewelry pieces, like a pendant necklace or a bracelet. The key is to keep the look
effortless and chic, with a focus on layering and texture."
bohemian,"a short, curvy man with a muscular build",a cocktail party,"The fashion-forward man in a bohemian style outfit looks effortlessly chic at a cocktail party. The man's
muscular build is highlighted by a tailored fit, which is achieved through a well-tailored blazer. The blazer
is paired with a crisp white shirt, which is tucked into a pair of slim-fit black trousers. The trousers are
completed with a pair of black leather dress shoes. The man's accessories include a silver watch and a leather
belt. The man's outfit is completed with a black fedora, which adds a touch of vintage charm to the ensemble."
classic,"a small-framed, delicate woman",a music festival,"The delicate woman in the photo is wearing a classic, feminine outfit that is perfect for a day at a music
festival. The ensemble consists of a white blouse with a Peter Pan collar, paired with a pleated skirt in a
pastel hue. The woman's hair is styled in a loose, retro updo that frames her face. She accessorizes with a
delicate gold necklace and a matching bracelet. The outfit is completed with a pair of vintage-style
sunglasses and a small leather handbag. The overall look is one of timeless elegance and femininity."
classic,"a short, curvy man with a muscular build",a sports event,"The gentleman stands tall and confident in his classic, timeless style. His tailored black blazer is paired
with a crisp white shirt and a slim-fit pair of black trousers. The gentleman's attire is completed with a
pair of black leather dress shoes. The gentleman's muscular build is accentuated by the classic, tailored fit
of his garments. The gentleman's outfit is perfect for a day at a sports event, where he can confidently strut
his stuff in style."
gothic,"a small-framed, delicate woman",a conference,"The delicate, petite woman in the conference room is dressed in a dark, gothic-style ensemble. Her long, dark
hair is styled in a loose, yet elegant updo. She dons a black velvet, high-necked dress with intricate lace
detailing, paired with a matching black velvet choker. The dress falls just above her knees, revealing a pair
of black leather knee-high boots. The ensemble is completed with a black velvet cape, adorned with silver
grommets and a deep red satin lining. The cape is draped elegantly over her shoulders, adding an extra layer
of sophistication to the already-stylish look."
gothic,"a short, curvy man with a muscular build",a bar,"The man walks into the bar, dressed in a dark, tailored suit with a long, black overcoat. His muscular build
is accentuated by the form-fitting cut of the suit. The man's hair is styled in a classic undercut, while his
beard is neatly trimmed. The man's eyes are framed by black metal frames, giving him a mysterious, yet
approachable look. The man's outfit is completed with a pair of black leather boots, adding to his overall
gothic aesthetic."
sporty,"a small-framed, delicate woman",a casual date,"The fashion outfit consists of a white, collared shirt paired with a pair of black, high-waisted trousers. The
shirt is tucked in, revealing a hint of the delicate woman's back. The trousers are tailored to fit her small
frame, emphasizing her feminine curves. The ensemble is completed with a pair of black, low-heeled pumps. The
look is styled with a black, wide-brimmed hat, which complements the sporty vibe. The outfit is perfect for a
casual date, where the woman can feel comfortable and confident in her own skin."
sporty,"a short, curvy man with a muscular build",a casual gathering,"The fashion-conscious short, curvy man with a muscular build can look stylish and sporty in this casual
outfit. Start with a white tee and pair it with a pair of black track pants. Add a pop of color with a bright-
colored track jacket. For a more formal look, swap the track pants for dress pants and add a dress shirt. To
complete the look, add a pair of black sneakers and a leather watch."
casual,"a small-framed, delicate woman",a nature retreat,"The delicate, petite woman steps out of her cabin at the nature retreat, dressed in a comfortable, casual
outfit. Her long, wavy hair falls in loose waves around her face, framing her heart-shaped face. She wears a
soft, cream-colored sweater with a subtle pattern, paired with a pair of dark-wash skinny jeans and a pair of
cozy, taupe ankle boots. A simple necklace adds a touch of elegance to her look, while a small backpack
complements her outfit. The serene nature surrounding her provides the perfect backdrop for her stylish, yet
practical outfit."
casual,"a short, curvy man with a muscular build",a beach,"The fashion outfit consists of a white t-shirt, a pair of black shorts, and a pair of black sneakers. The
t-shirt is a relaxed fit and features a round neckline. The shorts have a drawstring waist and are made of
lightweight, breathable fabric. The sneakers are a classic pair of black canvas shoes with white accents. The
outfit is completed with a black baseball cap."
bohemian,"a small-framed, delicate woman",a birthday party,"The delicate woman in the bohemian style outfit looks like a bohemian dream come true. The outfit consists of
a white blouse with lace detailing, paired with a floral print skirt that flares out at the bottom. The skirt
is accompanied by a brown leather belt, which accentuates the waist. A pair of brown leather ankle boots
completes the look, adding a touch of bohemian flair. The woman's hair is styled in loose waves, framing her
delicate face. The overall vibe of the outfit is one of effortless elegance and bohemian charm."
bohemian,"a short, curvy man with a muscular build",a casual date,"The fashion outfit for a curvy man with a muscular build at a casual date can include a bohemian-style shirt
in earthy tones, paired with a pair of slim-fit jeans. The shirt can be tucked in to highlight the man's
muscular build. A leather belt can complete the look, along with a pair of brown leather shoes. For a more
casual look, a leather jacket can be added over the shirt. The jacket can be left open to showcase the man's
muscular build. The outfit can be accessorized with a leather watch and a leather bracelet."
classic,"a small-framed, delicate woman",a beach,"The delicate woman stands tall on the beach, her small frame perfectly proportioned with the classic style she
sports. Her hair is styled in a soft, loose waves that cascade down her back, framing her face. She wears a
simple white blouse, paired with a classic black skirt that falls just above her knees. The skirt is
accompanied by a pair of black heels, completing the classic look. The woman's accessories are minimal, with a
simple necklace and a single bracelet. The outfit is a perfect mix of classic and modern, making the woman
stand out in a crowd."
classic,"a short, curvy man with a muscular build",a music festival,"The fashion-conscious man stands tall and confident in his classic style outfit. His tailored black blazer is
paired with a crisp white shirt, a slim-fit black tie, and black dress shoes. The man's muscular build is
accentuated by the black blazer, which is cinched at the waist to create a streamlined silhouette. The man's
dark hair is styled neatly, and his facial features are framed by a pair of black sunglasses. The man's outfit
is completed with a pair of black leather dress shoes, which are polished to a shine. The man confidently
strides through the music festival, turning heads with his timeless style."
gothic,"a small-framed, delicate woman",a business lunch,"The woman, a delicate and petite frame, is dressed in a dark, gothic-style ensemble. Her long, dark hair is
styled in loose waves, framing her face. She wears a tailored, black blazer with intricate silver buttons,
paired with a deep red velvet blouse. The blouse is tucked into a high-waisted, black pencil skirt, which
flares out at the knee. The ensemble is completed with black leather ankle boots, a silver necklace, and a
black, structured handbag. The woman's lunch meeting is held in a modern office setting, and her outfit is a
perfect mix of classic gothic style with modern business attire."
gothic,"a short, curvy man with a muscular build",a work / office event,"The fashion outfit consists of a black tailored suit with a red and black striped tie, a white dress shirt,
and black dress shoes. The suit is tailored to fit the man's muscular build, while the striped tie adds a
touch of gothic style. The white dress shirt is tucked in, showcasing the man's muscular build. The black
dress shoes complete the look, with the red and black striped tie being the focal point. The outfit is perfect
for a formal work or office event, while still maintaining a gothic aesthetic."
sporty,"a small-framed, delicate woman",a sports event,"The delicate woman in the image is wearing a black and white striped top with a pair of black and white
striped shorts. The top is tucked in to reveal a pair of white sneakers. The woman is also wearing a black and
white striped headband to complete the sporty look. The outfit is perfect for attending a sports event or
running errands in a casual yet chic manner."
sporty,"a short, curvy man with a muscular build",a bar,"The man is dressed in a black and white checkered shirt, paired with a pair of black track pants. The track
pants have a drawstring waist, and the man wears a pair of black and white sneakers. The man's hair is styled
in a short, neat cut that frames his face. The man is wearing a black and white checkered scarf, which is
knotted around his neck. The man is holding a black and white checkered scarf in his hand, which he uses to
tie back his hair. The man is also wearing a black and white checkered beanie, which is pulled down low on his
head. The man is sitting at a bar, sipping on a drink and enjoying the atmosphere."
casual,"a small-framed, delicate woman",a fancy date,"The delicate woman in the photo is wearing a light blue, semi-formal dress with a subtle pattern. The dress is
paired with a pair of black heels, which elongate her frame. The dress is cinched at the waist with a belt,
giving her an hourglass shape. The woman's hair is styled in loose waves, framing her face. She accessorizes
with a delicate necklace and a small, gold bracelet. The overall look is chic and feminine, perfect for a date
night."
casual,"a short, curvy man with a muscular build",a picnic,"The fashion outfit for a curvy man with a muscular build at a picnic can be a combination of a light-colored
shirt, a pair of dark-colored chinos, and a pair of comfortable sneakers. The shirt should be tucked in to the
pants and left untucked for a more casual look. The chinos should fit snugly but not be too tight. The
sneakers should be stylish and comfortable, preferably in a neutral color. Accessories such as a watch or a
bracelet can add to the overall look."
bohemian,"a small-framed, delicate woman",a fancy date,"The delicate woman in the bohemian outfit looks effortlessly chic and charming. The earthy tones of the dress
and the accessories complement each other perfectly, while the lace-up boots add a touch of edge. The bohemian
style is completed with a delicate scarf that ties around the neck, adding a touch of elegance to the overall
look."
bohemian,"a short, curvy man with a muscular build",a casual date,"The fashion outfit for a curvy man with a muscular build at a casual date can include a bohemian-style shirt
in earthy tones, paired with a pair of slim-fit jeans. The shirt can be tucked in to highlight the man's
muscular build. A leather belt can complete the look, along with a pair of brown leather shoes. For a more
casual look, a leather jacket can be added over the shirt. The jacket can be left open to showcase the man's
muscular build. The outfit can be accessorized with a leather watch and a leather bracelet."
classic,"a small-framed, delicate woman",a winter vacation,"The delicate woman in the winter vacation outfit is adorned with a classic, timeless style. The ensemble
consists of a tailored, knee-length coat in a rich, neutral color, paired with a soft, feminine scarf. The
coat is accompanied by a pair of classic, round-toed ankle boots, which are embellished with a delicate lace-
up design. The woman's hair is styled in a classic updo, held in place with a delicate, pearl-encrusted clip.
The outfit is completed with a pair of classic, round-framed glasses, and a small, elegant handbag. The
woman's delicate features are accentuated by the classic, timeless style, making her the perfect embodiment of
elegance and sophistication."
classic,"a short, curvy man with a muscular build",a national parks,"The fashion outfit consists of a classic, tailored blazer in a rich, earthy color, paired with a crisp white
shirt and a pair of slim-fit, dark-wash jeans. The blazer features a single button and a pair of slanted side
pockets. The shirt has a subtle check pattern and a classic collar. The jeans are a modern fit, with a high
waist and tapering to the ankle. The outfit is completed with a pair of classic leather dress shoes."
gothic,"a small-framed, delicate woman",a play / concert,"The delicate woman in the gothic outfit stands out from the crowd. Her dark, intricately braided hair frames
her face, while her long, flowing black dress with intricate lace detailing accentuates her small frame. The
ensemble is completed with a pair of black ankle boots, a black choker necklace, and a black leather jacket.
The woman's delicate features are enhanced by the gothic makeup, which includes dark eyeliner, pale skin, and
a deep red lipstick. The outfit is perfect for a gothic-inspired performance or a night out at a concert."
gothic,"a short, curvy man with a muscular build",a birthday party,"The fashion outfit for the gothic-style birthday party would consist of a black tailored suit with a white
dress shirt, a black tie, and black dress shoes. The tailored suit would be a classic fit with a modern twist,
featuring a slim fit and a high waist. The black dress shirt would be a classic Oxford style, with a white
dress shirt underneath. The black tie would be a classic silk tie, and the black dress shoes would be a pair
of black leather dress shoes with a low block heel. The look would be completed with a black leather dress
belt and a black leather dress watch. The outfit would be perfect for a stylish and modern gothic look."
sporty,"a small-framed, delicate woman",a wedding,"The bride's mother, a petite woman, is attending a wedding with her daughter. She wants to look stylish and
chic, but also comfortable and age-appropriate. She chooses a black and white striped dress with a pleated
neckline, paired with a white blazer and black heels. The dress is accessorized with a black and white scarf,
a black handbag, and a pair of black earrings. The outfit is completed with a black fascinator, which
complements the black and white theme."
sporty,"a short, curvy man with a muscular build",a night club,"The fashion outfit consists of a black, slim-fit, long-sleeve t-shirt, paired with a pair of black, slim-fit,
low-rise pants. The t-shirt features a white, embroidered logo of a sports team or a logo of a sports brand.
The pants have a drawstring waist, and the legs taper down to a narrow hem. The outfit is completed with
black, low-top sneakers. The man's muscular build is accentuated by the slim-fit, form-fitting design of the
outfit. The outfit is perfect for a night out at a trendy, modern club."
casual,"a small-framed, delicate woman",a business meeting,"The delicate woman in the business meeting looks chic and stylish in a casual ensemble. She wears a black
collared blouse tucked into a pair of slim-fit black trousers. The trousers are accompanied by a pair of black
ankle boots with a block heel. A black blazer completes the look, adding a touch of elegance to the otherwise
casual outfit."
casual,"a short, curvy man with a muscular build",a concert,"The fashion-conscious short, curvy man with a muscular build looks stylish and confident in a casual ensemble.
He wears a black t-shirt with a graphic print, paired with a pair of slim-fit black jeans. The jeans are
tucked into his black leather boots, which are completed with a matching black leather belt. A black leather
jacket completes the look, adding a layer of sophistication to the ensemble."
